[Header]
TITLE,hc_sample_12232020_1p8_300K.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,1,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
31063670.09,,5905,5.42231,5.4446,-0.005,9.4E-6,5.4682509,0.073046468,111.00109,0.08737,4.793535,0.01086,115.79462,0.08737,1.6613948,16.050359,0.0076704304,98.783274,0,0,1,,,,7.2962E-6,30.39651,29.901768,20.299195,0
31063793.36,,5905,5.42282,5.4442,-0.005,9.3E-6,5.4709674,0.076949393,110.98573,0.07635,4.8003044,0.01088,115.78604,0.07635,0.55928491,16.714635,0.0073570356,98.8819,0,0,1,,,,6.9992E-6,32.10072,29.931484,20.286308,0
31064129.19,,5905,5.81197,5.8356,-0.005,9.2E-6,5.8618709,0.081379371,121.15367,0.1288,5.7628451,0.01346,126.91651,0.1288,0.15525681,16.187896,0.0085573976,98.767879,0,0,1,,,,7.9294E-6,33.42927,34.36153,20.668089,0
31064252.67,,5905,5.81383,5.8385,-0.005,9.2E-6,5.8640564,0.08213969,121.11561,0.132,5.7703678,0.01348,126.88598,0.132,2.951372,16.946173,0.0091535284,98.74261,0,0,1,,,,7.5745E-6,32.37579,34.387158,20.653895,0
31064382.03,,5905,5.81411,5.8386,-0.005,9.2E-6,5.8667482,0.08593902,120.97464,0.05372,5.7783769,0.0135,126.75302,0.05372,0.6860351,17.539933,0.0080814561,98.931635,0,0,1,,,,7.2977E-6,33.89235,34.418734,20.620391,0
31064721.97,,5905,6.20353,6.2287,-0.005,9.3E-6,6.2584519,0.090106017,131.37072,0.1724,6.8394158,0.0171,138.21014,0.1724,0.035013669,16.885696,0.0091361958,98.838786,0,0,1,,,,8.272E-6,35.07987,39.16822,20.990929,0
31064850.5,,5905,6.20538,6.2307,-0.005,9.3E-6,6.2602779,0.090712893,131.28963,0.08273,6.8474458,0.01713,138.13707,0.08273,0.72911878,17.685863,0.0096814654,98.82694,0,0,1,,,,7.8944E-6,33.77139,39.191079,20.971853,0
31064983.55,,5905,6.20596,6.2322,-0.005,9.2E-6,6.2631853,0.094455713,131.54299,0.1195,6.8558952,0.01716,138.39888,0.1195,0.430399,18.217,0.0088473063,98.959746,0,0,1,,,,7.6694E-6,35.37173,39.22749,21.00257,0
31065325.09,,5905,6.59435,6.6218,-0.005,9.3E-6,6.6526361,0.09828059,143.52622,0.1513,8.0044347,0.02141,151.53065,0.1513,0.15750506,17.905231,0.010386484,98.829694,0,0,1,,,,8.5529E-6,36.434,44.257567,21.574338,0
31065459.13,,5905,6.59611,6.6214,-0.005,9.3E-6,6.6554641,0.099616583,143.46654,0.1126,8.0153697,0.02144,151.48191,0.1126,1.8976417,18.472723,0.010285029,98.878965,0,0,1,,,,8.2837E-6,35.81046,44.295203,21.556204,0
31065596.5,,5905,6.59632,6.6233,-0.005,9.4E-6,6.6580303,0.10281126,143.42208,0.09879,8.0242229,0.02146,151.4463,0.09879,0.6063268,18.973341,0.0099612705,98.9448,0,0,1,,,,8.0584E-6,36.94545,44.329368,21.541217,0
31065949.91,,5905,6.98633,7.0145,-0.005,9.2E-6,7.0485237,0.10572957,158.29031,0.1854,9.2891592,0.02226,167.57947,0.1854,0.31202932,19.005491,0.011718131,98.811291,0,0,1,,,,8.9121E-6,37.94668,49.681686,22.457229,0
31066090.25,,5905,6.98844,7.0189,-0.005,9.3E-6,7.0519949,0.10809873,158.36293,0.1485,9.3025938,0.02225,167.66553,0.1485,3.1901979,19.502507,0.011236203,98.890907,0,0,1,,,,8.6832E-6,38.01098,49.730632,22.456473,0
31066234.7,,5905,6.98897,7.0196,-0.005,9.2E-6,7.0544831,0.11114656,158.39731,0.156,9.312021,0.02224,167.70933,0.156,1.0621558,20.015613,0.011136955,98.929977,0,0,1,,,,8.4598E-6,39.00501,49.765732,22.453425,0
31066719.86,,5905,7.37903,7.4096,-0.005,9.3E-6,7.4509124,0.11661657,128.76921,0.05336,10.708697,0.02111,139.47791,0.05336,0.95677202,15.521474,0.012502397,98.854321,0,0,1,,,,9.075E-6,30.30111,55.516095,17.282342,0
31066839.7,,5905,7.37987,7.4103,-0.005,9.4E-6,7.4532758,0.11933255,128.97415,0.06438,10.717594,0.02111,139.69175,0.06438,0.18661023,15.794607,0.012213126,98.899832,0,0,1,,,,8.9282E-6,31.04295,55.55132,17.304358,0
